"Date","Price","Open","High","Low","Vol.","Change %"
"02-02-2009","3,310.15","3,343.25","3,368.20","3,302.90","72.17M","-1.41%"
"30-01-2009","3,357.35","3,311.15","3,361.40","3,283.50","96.27M","0.80%"
"29-01-2009","3,330.65","3,375.75","3,385.40","3,315.80","94.40M","-0.58%"
"28-01-2009","3,350.20","3,335.45","3,359.90","3,315.20","83.15M","0.85%"
"27-01-2009","3,321.90","3,345.15","3,358.15","3,312.35","71.61M","-0.04%"
"23-01-2009","3,323.25","3,364.35","3,382.55","3,304.30","65.13M","-1.53%"
"22-01-2009","3,375.05","3,481.00","3,487.95","3,368.40","66.43M","-2.06%"
"21-01-2009","3,446.05","3,456.60","3,501.90","3,434.75","66.42M","-1.31%"
"20-01-2009","3,491.65","3,497.60","3,507.90","3,482.65","57.91M","-1.23%"
"19-01-2009","3,535.00","3,531.70","3,544.45","3,511.60","55.07M","0.82%"
"16-01-2009","3,506.15","3,507.50","3,522.90","3,477.70","58.16M","0.94%"
"15-01-2009","3,473.35","3,491.25","3,491.25","3,421.65","68.20M","-1.50%"
"14-01-2009","3,526.15","3,474.85","3,533.55","3,474.85","69.76M","2.15%"
"13-01-2009","3,451.80","3,488.05","3,528.70","3,429.50","65.96M","-1.10%"
"12-01-2009","3,490.15","3,533.65","3,550.20","3,478.00","67.49M","-1.38%"
"09-01-2009","3,539.10","3,589.00","3,637.35","3,468.00","104.52M","-2.96%"
"07-01-2009","3,647.20","3,941.25","3,965.80","3,619.85","123.28M","-7.00%"
"06-01-2009","3,921.85","3,946.15","3,977.65","3,882.45","106.70M","-0.64%"
"05-01-2009","3,947.00","3,926.80","3,970.30","3,926.80","106.83M","1.36%"
"02-01-2009","3,893.90","3,839.05","3,908.10","3,833.85","117.01M","2.08%"
"01-01-2009","3,814.55","3,741.25","3,819.95","3,741.25","64.39M","2.11%"
"31-12-2008","3,735.60","3,723.85","3,765.05","3,713.40","97.79M","0.82%"
"30-12-2008","3,705.20","3,650.40","3,711.10","3,629.95","66.80M","2.20%"
"29-12-2008","3,625.40","3,584.15","3,634.55","3,540.20","52.81M","1.00%"
"26-12-2008","3,589.40","3,653.90","3,694.20","3,578.75","61.34M","-1.22%"
"24-12-2008","3,633.55","3,655.30","3,655.30","3,611.75","72.27M","-0.68%"
"23-12-2008","3,658.40","3,737.70","3,745.80","3,646.40","73.22M","-2.39%"
"22-12-2008","3,747.85","3,790.75","3,842.85","3,731.70","98.27M","-0.57%"
"19-12-2008","3,769.20","3,668.10","3,779.50","3,668.10","125.51M","2.62%"
"18-12-2008","3,673.05","3,597.45","3,680.90","3,547.70","111.73M","2.05%"
"17-12-2008","3,599.30","3,715.55","3,729.30","3,582.80","107.85M","-2.50%"
"16-12-2008","3,691.75","3,626.50","3,698.80","3,626.50","105.59M","1.78%"
"15-12-2008","3,627.10","3,569.35","3,639.25","3,569.35","117.44M","3.54%"
"12-12-2008","3,502.95","3,398.60","3,508.55","3,383.55","14.26M","0.96%"
"11-12-2008","3,469.80","3,419.95","3,473.50","3,412.55","120.26M","1.95%"
"10-12-2008","3,403.50","3,341.50","3,410.40","3,337.70","93.07M","2.27%"
"08-12-2008","3,327.85","3,435.90","3,438.70","3,320.85","73.74M","-0.82%"
"05-12-2008","3,355.35","3,402.45","3,453.20","3,347.45","81.59M","-1.51%"
"04-12-2008","3,406.80","3,279.20","3,426.90","3,278.10","93.24M","4.57%"
"03-12-2008","3,257.80","3,248.20","3,275.65","3,238.35","68.19M","0.90%"
"02-12-2008","3,228.60","3,178.50","3,235.50","3,169.70","64.49M","-0.97%"
"01-12-2008","3,260.35","3,296.45","3,363.95","3,257.75","65.99M","-1.49%"
"28-11-2008","3,309.65","3,256.95","3,325.10","3,243.25","90.05M","0.57%"
"26-11-2008","3,290.80","3,284.85","3,294.85","3,231.30","76.37M","0.59%"
"25-11-2008","3,271.60","3,333.90","3,352.15","3,264.55","106.51M","-0.45%"
"24-11-2008","3,286.35","3,297.55","3,335.70","3,265.25","77.08M","-0.36%"
"21-11-2008","3,298.20","3,286.35","3,312.35","3,226.40","79.55M","0.77%"
"20-11-2008","3,272.85","3,321.20","3,321.20","3,242.05","74.79M","-3.19%"
"19-11-2008","3,380.70","3,435.80","3,464.10","3,372.20","71.68M","-1.33%"
